YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
954,0,2,21,49.28977895,-123.1294053,0,22,4,1,22
955,0,0,0,49.28248538,-123.1280525,0,19,1,1,22
956,0,11,18,49.27733967,-123.1201063,19,33,3,1,1
957,0,4,26,49.27487919,-123.1159898,9,10,0,1,1
959,0,6,8,49.27486251,-123.0695498,17,24,1,1,4
960,0,8,6,49.25779666,-123.0566487,22,20,5,1,6
961,0,10,5,49.24186538,-123.0581279,8,10,2,1,14
962,0,10,3,49.24186538,-123.0581279,15,30,0,1,14
963,0,0,8,49.24186538,-123.0581279,15,22,2,1,14
964,0,7,0,49.21583248,-123.059347,22,0,3,1,21
966,0,4,4,49.26212338,-123.0565986,14,28,-1,1,6
967,0,3,12,49.26212338,-123.0565986,21,11,5,1,6
968,0,2,26,49.26212338,-123.0565986,19,30,2,1,6
969,0,9,4,49.23282478,-123.0588728,23,27,5,1,21
970,0,8,0,49.24578803,-123.0566624,18,14,-1,1,6
972,0,8,20,49.2847733,-123.0565283,18,0,5,1,4
973,0,6,11,49.2847733,-123.0565283,13,45,4,1,4
974,0,6,7,49.28659932,-123.0565304,8,30,0,1,4
975,0,9,13,49.26586133,-123.1205596,13,3,0,1,3
976,0,8,3,49.28130921,-123.0741238,13,26,2,1,4
977,0,10,25,49.28870749,-123.049327,13,48,1,1,5
978,0,11,23,49.28873213,-123.0545526,19,0,1,1,5
980,0,11,23,49.21289455,-123.0251132,3,10,1,1,8
986,0,10,19,49.22421386,-123.163994,14,50,2,1,7
989,0,9,25,49.24779383,-123.1075036,1,30,5,1,15
991,0,5,21,49.27769172,-123.0999106,2,38,5,1,1
994,0,4,22,49.27769172,-123.0999106,22,50,3,1,1
996,0,0,19,49.27274434,-123.0999418,17,17,-1,1,19
997,0,11,0,49.2767562,-123.0999362,17,50,-1,1,1
998,0,6,10,49.2767562,-123.0999362,12,20,3,1,1
1001,0,4,18,49.2767562,-123.0999362,4,45,-1,1,1
1002,0,10,29,49.28318807,-123.0995642,22,17,5,1,1
1003,0,11,5,49.23358673,-123.1015524,13,37,4,1,15
1004,0,11,16,49.28134395,-123.099698,7,10,1,1,1
1006,0,8,28,49.28134395,-123.099698,9,57,-1,1,1
1007,0,0,29,49.28134395,-123.099698,12,0,2,1,1
1010,0,0,15,49.28134395,-123.099698,8,25,2,1,1
1011,0,9,6,49.24935582,-123.1010626,11,37,0,1,15
1015,0,9,28,49.25462713,-123.1009359,13,23,1,1,15
1016,0,0,20,49.25839595,-123.101136,15,52,0,1,11
1018,0,10,17,49.26019497,-123.1011672,16,40,0,1,11
1022,0,0,7,49.24233029,-123.1702227,15,40,1,1,2
1023,0,2,13,49.26407477,-123.168167,19,10,3,1,9
1024,0,6,24,49.25774183,-123.1683791,8,45,3,1,9
1025,0,2,26,49.27145082,-123.1681784,11,38,2,1,9
1026,0,1,9,49.26233858,-123.1682436,8,36,-1,1,9
1027,0,9,7,49.26348301,-123.0284925,21,45,1,1,5
1028,0,2,17,49.26559797,-123.0237104,17,20,0,1,14
1029,0,8,29,49.26857977,-123.0996997,9,1,0,1,11
1030,0,4,22,49.25081388,-123.1275034,9,15,3,1,16
1031,0,9,18,49.21917009,-123.1261311,17,20,5,1,10
1035,0,4,4,49.2247182,-123.0426161,15,25,-1,1,8
1036,0,3,3,49.23288623,-123.0417165,16,19,3,1,8
1037,0,7,13,49.26938621,-123.1377647,19,29,2,1,3
1038,0,8,28,49.28117259,-123.061694,18,15,-1,1,4
1040,0,8,19,49.20947118,-123.0773251,9,0,4,1,20
1041,0,5,19,49.23273312,-123.077073,16,44,3,1,6
1042,0,11,11,49.24643342,-123.0762424,6,12,3,1,6
1044,0,4,15,49.27209423,-123.0657243,15,45,3,1,4
1046,0,1,0,49.27209423,-123.0657243,12,0,4,1,4
1047,0,6,20,49.23593539,-123.0423372,6,50,-1,1,14
1051,0,6,17,49.23593539,-123.0423372,15,21,3,1,14
1052,0,11,23,49.24695968,-123.0690297,15,0,1,1,6
1053,0,9,16,49.24695968,-123.0690297,19,20,3,1,6
1054,0,6,14,49.2320355,-123.0292711,16,55,0,1,8
1055,0,9,11,49.25013056,-123.076097,23,0,5,1,6
1059,0,0,5,49.25013056,-123.076097,12,5,-1,1,6
1061,0,7,3,49.23416549,-123.0359345,2,0,-1,1,14
1062,0,5,2,49.23416549,-123.0359345,7,45,0,1,14
1063,0,4,13,49.23416549,-123.0359345,15,9,1,1,14
1066,0,4,0,49.23416549,-123.0359345,22,0,2,1,14
1067,0,3,4,49.25294216,-123.0818041,13,40,4,1,6
1068,0,4,15,49.24848686,-123.0723158,14,29,3,1,6
1069,0,6,13,49.25987507,-123.0965762,6,49,-1,1,11
1070,0,9,9,49.26196918,-123.0986694,15,28,3,1,11
1076,0,8,24,49.24893596,-123.0733608,18,40,2,1,6
1077,0,2,10,49.24578277,-123.0665412,23,40,0,1,6
1078,0,0,28,49.2793013,-123.0896159,4,45,1,1,19
1079,0,6,8,49.24003205,-123.0301276,9,0,1,1,14
1084,0,5,14,49.23416549,-123.0359345,14,30,5,1,14
1085,0,3,8,49.23416549,-123.0359345,8,45,1,1,14
1087,0,7,10,49.23641501,-123.0336009,12,42,-1,1,14
1088,0,8,25,49.22926262,-123.0374006,5,50,3,1,8
1089,0,4,16,49.28351319,-123.133899,23,52,4,1,22
1091,0,6,15,49.2877212,-123.1274748,12,30,1,1,22
1092,0,8,11,49.28527776,-123.1158492,9,35,3,1,1
1093,0,11,28,49.28312455,-123.1191579,8,58,-1,1,1
1096,0,11,11,49.27779983,-123.1272017,22,12,3,1,1
1099,0,11,23,49.27627495,-123.131391,15,49,1,1,1
1100,0,2,3,49.2794556,-123.126601,17,27,0,1,1
1101,0,8,26,49.27842979,-123.1184591,3,9,4,1,1
1103,0,6,25,49.27733967,-123.1201063,9,43,4,1,1
1104,0,9,0,49.26355929,-123.1360991,19,55,1,1,3
1105,0,7,3,49.26355929,-123.1360991,15,56,-1,1,3
1107,0,4,23,49.26355929,-123.1360991,7,0,4,1,3
1109,0,1,27,49.2799362,-123.1142692,10,23,3,1,1
1110,0,4,24,49.27419776,-123.1307806,15,46,5,1,1
1113,0,1,10,49.27536247,-123.126893,12,15,0,1,1
1114,0,4,26,49.28464909,-123.1148577,13,59,0,1,1
1115,0,8,6,49.24950519,-123.1390972,15,59,5,1,16
1117,0,6,16,49.26617407,-123.1384705,22,30,2,1,3
1118,0,7,18,49.21050907,-123.1404706,18,26,0,1,10
1120,0,7,27,49.21136365,-123.1404455,17,30,2,1,10
1121,0,7,24,49.26676777,-123.1384584,13,42,-1,1,3
1124,0,8,2,49.23536407,-123.1395932,19,13,1,1,16
1127,0,4,1,49.24088746,-123.139334,15,40,3,1,16
1128,0,11,5,49.24188595,-123.1393231,19,30,4,1,16
1129,0,8,18,49.24188595,-123.1393231,21,48,3,1,16
1131,0,3,14,49.24188595,-123.1393231,18,33,0,1,16
1132,0,7,4,49.25705253,-123.1388023,10,5,0,1,16
1133,0,4,17,49.25891462,-123.1387388,20,10,5,1,3
1134,0,3,8,49.26079466,-123.1387028,4,0,1,1,3
1135,0,5,16,49.2474092,-123.1391737,4,15,0,1,16
1138,0,2,22,49.2474092,-123.1391737,3,15,5,1,16
1144,0,1,8,49.27127565,-123.0657507,18,46,5,1,4
1149,0,7,19,49.25813085,-123.0285444,7,42,1,1,14
1153,0,5,19,49.25812042,-123.0338767,22,35,3,1,14
1157,0,10,26,49.25818885,-123.0442941,0,21,2,1,14
1160,0,9,24,49.25818885,-123.0442941,19,20,4,1,14
1161,0,11,14,49.27670483,-123.096884,17,46,-1,1,19
1163,0,4,16,49.28130986,-123.0974705,12,10,4,1,19
1164,0,3,21,49.28130986,-123.0974705,20,38,0,1,19
1165,0,0,20,49.28130986,-123.0974705,21,54,0,1,19
1166,0,3,6,49.21826764,-123.0909473,13,30,-1,1,20
1169,0,2,13,49.21826764,-123.0909473,18,38,3,1,20
1170,0,3,23,49.22543705,-123.0907133,10,30,2,1,20
1171,0,2,17,49.22543705,-123.0907133,12,45,0,1,20
1172,0,7,18,49.23098721,-123.0906135,16,6,0,1,20
1173,0,4,22,49.23098721,-123.0906135,8,15,3,1,20
1174,0,5,23,49.24661227,-123.0902025,17,50,0,1,15
1175,0,0,24,49.25008448,-123.0901263,20,37,4,1,15
1178,0,1,23,49.28218408,-123.0703851,15,7,-1,1,4
1179,0,9,17,49.2697914,-123.1374221,12,30,4,1,3
1180,0,9,16,49.27577095,-123.1147545,9,45,3,1,1
1181,0,3,29,49.27576488,-123.1020514,19,40,1,1,1
1186,0,2,16,49.27804595,-123.1061669,17,0,-1,1,1
1188,0,10,20,49.22592748,-123.0546894,9,35,3,1,21
1189,0,0,10,49.23756097,-123.0488227,22,39,4,1,14
1190,0,7,10,49.28027707,-123.0704374,13,23,-1,1,4
1191,0,8,27,49.28044217,-123.102281,8,55,5,1,1
1192,0,10,27,49.24887555,-123.1050051,14,55,3,1,15
1193,0,3,6,49.24877112,-123.1010751,21,15,-1,1,15
1194,0,9,7,49.24851136,-123.0761907,11,28,1,1,6
1195,0,9,12,49.28115154,-123.0493469,16,11,-1,1,5
1198,0,1,9,49.28118952,-123.0636465,16,20,-1,1,4
1199,0,9,16,49.28115368,-123.0440396,15,50,3,1,5
1200,0,9,16,49.28115368,-123.0440396,5,58,3,1,5
1201,0,3,24,49.28115368,-123.0440396,21,33,3,1,5
1202,0,2,1,49.28115368,-123.0440396,20,44,5,1,5
1203,0,11,11,49.28123225,-123.093428,18,30,3,1,19
1205,0,9,28,49.28123225,-123.093428,23,3,1,1,19
1207,0,0,0,49.28123225,-123.093428,6,15,1,1,19
1209,0,10,4,49.28130986,-123.0974705,10,55,1,1,19
1210,0,9,1,49.28134324,-123.0771075,13,30,2,1,19
1211,0,5,21,49.28134324,-123.0771075,10,52,5,1,19
1254,0,3,8,49.2822885,-123.0996311,16,16,1,1,1
1255,0,2,20,49.28220214,-123.0953685,11,15,3,1,19
1256,0,7,21,49.2618886,-123.0365319,12,42,3,1,14
1257,0,11,30,49.26189847,-123.0336594,20,28,1,1,14
1258,0,3,8,49.26189847,-123.0336594,11,57,1,1,14
1259,0,9,6,49.26212338,-123.0565986,22,35,0,1,6
1261,0,8,24,49.26212338,-123.0565986,7,35,2,1,6
1262,0,6,24,49.26212338,-123.0565986,2,37,3,1,6
1269,0,4,29,49.26212338,-123.0565986,7,55,3,1,6
1273,0,3,27,49.26212338,-123.0565986,12,0,-1,1,6
1274,0,5,9,49.26225552,-123.0620415,13,43,0,1,6
1275,0,2,5,49.26286796,-123.099537,2,10,2,1,11
1276,0,4,27,49.262512,-123.0949595,18,0,1,1,11
1277,0,7,27,49.26338313,-123.08523,16,0,2,1,11
1278,0,1,2,49.26459377,-123.1009975,22,31,-1,1,11
1280,0,11,16,49.26416709,-123.0697685,7,25,1,1,4
1281,0,6,10,49.26423413,-123.0774931,10,37,3,1,11
1282,0,9,14,49.26552762,-123.1028687,22,17,1,1,11
1284,0,7,19,49.26519532,-123.0794052,17,0,1,1,11
1289,0,6,29,49.21218341,-123.1055453,15,47,1,1,20
1290,0,3,26,49.21320961,-123.0942883,14,56,5,1,20
